29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
29,29,29,30,63,63,6,63,63,31,29,29,29,29,30,31,29,29,29,29
29,29,29,63,6,63,63,63,63,6,63,63,63,63,7,63,31,29,29,29
29,29,30,63,63,17,17,17,17,63,63,7,6,63,63,63,63,31,29,29
29,30,63,63,63,17,17,17,53,63,63,7,63,7,63,7,63,63,29,29
29,63,63,63,6,7,17,17,17,63,63,63,63,63,7,63,63,63,29,29
63,63,63,48,48,48,7,63,63,63,63,63,7,63,6,63,7,63,29,29
48,48,48,48,6,48,48,48,63,63,63,35,35,35,63,7,55,63,29,29
63,63,63,63,63,63,63,48,63,6,63,34,50,34,63,63,48,63,29,29
7,63,63,6,63,63,63,48,48,48,48,48,48,48,63,6,48,63,31,29
29,38,63,63,63,63,63,48,63,63,63,48,63,63,63,48,48,63,6,29
29,29,63,7,63,63,63,7,63,6,63,48,48,48,48,48,63,63,39,29
29,29,38,63,6,63,63,63,63,39,29,38,63,6,63,63,63,39,29,29
29,29,29,29,38,63,63,63,39,29,29,29,38,39,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
